season,MATCH_ID,TEAM,HOME TEAM,BELONGS TO,BATTING,RUN,BALL FACE,FOURS,SIXES,STRIKE RATE,OUT/ NOT_OUT,SEASON
0,1359475,GT v CSK,GT,CSK,Devon Conway,1,6,0,0,16.66, b Mohammed Shami,2023
1,1359475,GT v CSK,GT,CSK,Ruturaj Gaikwad,92,50,4,9,184,c Shubman Gill b Joseph,2023
2,1359475,GT v CSK,GT,CSK,Moeen Ali,23,17,4,1,135.29,c &dagger;Saha b Rashid Khan,2023
3,1359475,GT v CSK,GT,CSK,Ben Stokes,7,6,1,0,116.66,c &dagger;Saha b Rashid Khan,2023
4,1359475,GT v CSK,GT,CSK,Ambati Rayudu,12,12,0,1,100, b Little,2023
5,1359475,GT v CSK,GT,CSK,Shivam Dube,19,18,0,1,105.55,c Rashid Khan b Mohammed Shami,2023
6,1359475,GT v CSK,GT,CSK,Ravindra Jadeja,1,2,0,0,50,c Shankar b Joseph,2023
7,1359475,GT v CSK,GT,CSK,MS Dhoni,14,7,1,1,200,not out,2023
8,1359475,GT v CSK,GT,CSK,Mitchell Santner,1,3,0,0,33.33,not out,2023
9,1359475,GT v CSK,GT,GT,Wriddhiman Saha,25,16,2,2,156.25,c Dube b Hangargekar,2023
10,1359475,GT v CSK,GT,GT,Shubman Gill,63,36,6,3,175,c Gaikwad b Deshpande,2023
11,1359475,GT v CSK,GT,GT,Sai Sudharsan,22,17,3,0,129.41,c &dagger;Dhoni b Hangargekar,2023
12,1359475,GT v CSK,GT,GT,Hardik Pandya,8,11,0,0,72.72, b Jadeja,2023
13,1359475,GT v CSK,GT,GT,Vijay Shankar,27,21,2,1,128.57,c Santner b Hangargekar,2023
14,1359475,GT v CSK,GT,GT,Rahul Tewatia,15,14,1,1,107.14,not out,2023
15,1359475,GT v CSK,GT,GT,Rashid Khan,10,3,1,1,333.33,not out,2023
16,1359476,PBKS v KKR,GT,PBKS,Prabhsimran Singh,23,12,2,2,191.66,c &dagger;Rahmanullah Gurbaz b Southee,2023
17,1359476,PBKS v KKR,GT,PBKS,Shikhar Dhawan,40,29,6,0,137.93, b Varun,2023
18,1359476,PBKS v KKR,GT,PBKS,Bhanuka Rajapaksa,50,32,5,2,156.25,c Singh b Yadav,2023
19,1359476,PBKS v KKR,GT,PBKS,Jitesh Sharma,21,11,1,2,190.9,c Yadav b Southee,2023
20,1359476,PBKS v KKR,GT,PBKS,Sikandar Raza,16,13,1,1,123.07,c Rana b Narine,2023
21,1359476,PBKS v KKR,GT,PBKS,Sam Curran,26,17,0,2,152.94,not out,2023
22,1359476,PBKS v KKR,GT,PBKS,M Shahrukh Khan,11,7,2,0,157.14,not out,2023
23,1359476,PBKS v KKR,GT,KKR,Mandeep Singh,2,4,0,0,50,c Curran b Arshdeep Singh,2023
24,1359476,PBKS v KKR,GT,KKR,Rahmanullah Gurbaz,22,16,3,1,137.5, b Ellis,2023
25,1359476,PBKS v KKR,GT,KKR,Anukul Roy,4,5,1,0,80,c Sikandar Raza b Arshdeep Singh,2023
26,1359476,PBKS v KKR,GT,KKR,Venkatesh Iyer,34,28,3,1,121.42,c Chahar b Arshdeep Singh,2023
27,1359476,PBKS v KKR,GT,KKR,Nitish Rana,24,17,3,1,141.17,c Chahar b Sikandar Raza,2023
28,1359476,PBKS v KKR,GT,KKR,Rinku Singh,4,4,0,0,100,c Sikandar Raza b Chahar,2023
29,1359476,PBKS v KKR,GT,KKR,Andre Russell,35,19,3,2,184.21,c Sikandar Raza b Curran,2023
30,1359476,PBKS v KKR,GT,KKR,Shardul Thakur,8,3,0,1,266.66,not out,2023
31,1359476,PBKS v KKR,GT,KKR,Sunil Narine,7,2,0,1,350,not out,2023
32,1359477,LSG v DC,GT,LSG,KL Rahul,8,12,0,1,66.66,c Patel b Sakariya,2023
33,1359477,LSG v DC,GT,LSG,Kyle Mayers,73,38,2,7,192.1, b Patel,2023
34,1359477,LSG v DC,GT,LSG,Deepak Hooda,17,18,0,0,94.44,c Warner b Kuldeep Yadav,2023
35,1359477,LSG v DC,GT,LSG,Krunal Pandya,15,13,0,1,115.38,not out,2023
36,1359477,LSG v DC,GT,LSG,Marcus Stoinis,12,10,0,1,120,c &dagger;Khan b Ahmed,2023
37,1359477,LSG v DC,GT,LSG,Nicholas Pooran,36,21,2,3,171.42,c Shaw b Ahmed,2023
38,1359477,LSG v DC,GT,LSG,Ayush Badoni,18,7,1,2,257.14,c &dagger;Khan b Sakariya,2023
39,1359477,LSG v DC,GT,LSG,Krishnappa Gowtham,6,1,0,1,600,not out,2023
40,1359477,LSG v DC,GT,DC,Prithvi Shaw,12,9,2,0,133.33, b Wood,2023
41,1359477,LSG v DC,GT,DC,David Warner,56,48,7,0,116.66,c Gowtham b Avesh Khan,2023
42,1359477,LSG v DC,GT,DC,Mitchell Marsh,0,1,0,0,0, b Wood,2023
43,1359477,LSG v DC,GT,DC,Sarfaraz Khan,4,9,1,0,44.44,c Gowtham b Wood,2023
44,1359477,LSG v DC,GT,DC,Rilee Rossouw,30,20,3,1,150,c Mayers b Ravi Bishnoi,2023
45,1359477,LSG v DC,GT,DC,Rovman Powell,1,3,0,0,33.33,lbw b Ravi Bishnoi,2023
46,1359477,LSG v DC,GT,DC,Aman Hakim Khan,4,5,0,0,80,c &dagger;Pooran b Avesh Khan,2023
47,1359477,LSG v DC,GT,DC,Axar Patel,16,11,1,1,145.45,c sub (PN Mankad) b Wood,2023
48,1359477,LSG v DC,GT,DC,Kuldeep Yadav,6,10,0,0,60,not out,2023
49,1359477,LSG v DC,GT,DC,Chetan Sakariya,4,4,1,0,100,c Pandya b Wood,2023
50,1359477,LSG v DC,GT,DC,Mukesh Kumar,0,1,0,0,0,not out,2023
51,1359478,SRH v RR,GT,RR,Yashasvi Jaiswal,54,37,9,0,145.94,c Agarwal b Fazalhaq Farooqi,2023
52,1359478,SRH v RR,GT,RR,Jos Buttler,54,22,7,3,245.45, b Fazalhaq Farooqi,2023
53,1359478,SRH v RR,GT,RR,Sanju Samson,55,32,3,4,171.87,c Abhishek Sharma b Natarajan,2023
54,1359478,SRH v RR,GT,RR,Devdutt Padikkal,2,5,0,0,40, b Umran Malik,2023
55,1359478,SRH v RR,GT,RR,Riyan Parag,7,6,1,0,116.66,c Fazalhaq Farooqi b Natarajan,2023
56,1359478,SRH v RR,GT,RR,Shimron Hetmyer,22,16,1,1,137.5,not out,2023
57,1359478,SRH v RR,GT,RR,Ravichandran Ashwin,1,2,0,0,50,not out,2023
58,1359478,SRH v RR,GT,SRH,Abhishek Sharma,0,3,0,0,0, b Boult,2023
59,1359478,SRH v RR,GT,SRH,Mayank Agarwal,27,23,3,0,117.39,c Buttler b Chahal,2023
60,1359478,SRH v RR,GT,SRH,Rahul Tripathi,0,2,0,0,0,c Holder b Boult,2023
61,1359478,SRH v RR,GT,SRH,Harry Brook,13,21,1,0,61.9, b Chahal,2023
62,1359478,SRH v RR,GT,SRH,Washington Sundar,1,5,0,0,20,c Hetmyer b Holder,2023
63,1359478,SRH v RR,GT,SRH,Glenn Phillips,8,6,0,1,133.33,c Asif b Ashwin,2023
64,1359478,SRH v RR,GT,SRH,Abdul Samad,32,32,2,1,100,not out,2023
65,1359478,SRH v RR,GT,SRH,Adil Rashid,18,13,1,1,138.46,st &dagger;Samson b Chahal,2023
66,1359478,SRH v RR,GT,SRH,Bhuvneshwar Kumar,6,10,0,0,60, b Chahal,2023
67,1359478,SRH v RR,GT,SRH,Umran Malik,19,8,1,2,237.5,not out,2023
68,1359479,RCB v MI,GT,MI,Rohit Sharma,1,10,0,0,10,c &dagger;Karthik b Akash Deep,2023
69,1359479,RCB v MI,GT,MI,Ishan Kishan,10,13,2,0,76.92,c Patel b Mohammed Siraj,2023
70,1359479,RCB v MI,GT,MI,Cameron Green,5,4,1,0,125, b Topley,2023
71,1359479,RCB v MI,GT,MI,Suryakumar Yadav,15,16,1,0,93.75,c Shahbaz Ahmed b Bracewell,2023
72,1359479,RCB v MI,GT,MI,Tilak Varma,84,46,9,4,182.6,not out,2023
73,1359479,RCB v MI,GT,MI,Nehal Wadhera,21,13,1,2,161.53,c Kohli b Sharma,2023
74,1359479,RCB v MI,GT,MI,Tim David,4,7,0,0,57.14, b Sharma,2023
75,1359479,RCB v MI,GT,MI,Hrithik Shokeen,5,3,1,0,166.66,c du Plessis b Patel,2023
76,1359479,RCB v MI,GT,MI,Arshad Khan,15,9,0,1,166.66,not out,2023
77,1359479,RCB v MI,GT,RCB,Virat Kohli,82,49,6,5,167.34,not out,2023
78,1359479,RCB v MI,GT,RCB,Faf du Plessis,73,43,5,6,169.76,c David b Arshad Khan,2023
79,1359479,RCB v MI,GT,RCB,Dinesh Karthik,0,3,0,0,0,c Tilak Varma b Green,2023
80,1359479,RCB v MI,GT,RCB,Glenn Maxwell,12,3,0,2,400,not out,2023
81,1359480,CSK v LSG,GT,CSK,Ruturaj Gaikwad,57,31,3,4,183.87,c Wood b Ravi Bishnoi,2023
82,1359480,CSK v LSG,GT,CSK,Devon Conway,47,29,5,2,162.06,c Pandya b Wood,2023
83,1359480,CSK v LSG,GT,CSK,Shivam Dube,27,16,1,3,168.75,c Wood b Ravi Bishnoi,2023
84,1359480,CSK v LSG,GT,CSK,Moeen Ali,19,13,3,0,146.15,st &dagger;Pooran b Ravi Bishnoi,2023
85,1359480,CSK v LSG,GT,CSK,Ben Stokes,8,8,1,0,100,c Yash Thakur b Avesh Khan,2023
86,1359480,CSK v LSG,GT,CSK,Ambati Rayudu,27,14,2,2,192.85,not out,2023
87,1359480,CSK v LSG,GT,CSK,Ravindra Jadeja,3,6,0,0,50,c Ravi Bishnoi b Wood,2023
88,1359480,CSK v LSG,GT,CSK,MS Dhoni,12,3,0,2,400,c Ravi Bishnoi b Wood,2023
89,1359480,CSK v LSG,GT,CSK,Mitchell Santner,1,1,0,0,100,not out,2023
90,1359480,CSK v LSG,GT,LSG,KL Rahul,20,18,2,0,111.11,c Gaikwad b Ali,2023
91,1359480,CSK v LSG,GT,LSG,Kyle Mayers,53,22,8,2,240.9,c Conway b Ali,2023
92,1359480,CSK v LSG,GT,LSG,Deepak Hooda,2,6,0,0,33.33,c Stokes b Santner,2023
93,1359480,CSK v LSG,GT,LSG,Krunal Pandya,9,9,0,1,100,c Jadeja b Ali,2023
94,1359480,CSK v LSG,GT,LSG,Marcus Stoinis,21,18,0,1,116.66, b Ali,2023
95,1359480,CSK v LSG,GT,LSG,Nicholas Pooran,32,18,2,3,177.77,c Stokes b Deshpande,2023
96,1359480,CSK v LSG,GT,LSG,Ayush Badoni,23,18,0,0,127.77,c &dagger;Dhoni b Deshpande,2023
97,1359480,CSK v LSG,GT,LSG,Krishnappa Gowtham,17,11,0,1,154.54,not out,2023
98,1359480,CSK v LSG,GT,LSG,Mark Wood,10,3,1,1,333.33,not out,2023
99,1359481,DC v GT,GT,DC,David Warner,37,32,7,0,115.62, b Joseph,2023
100,1359481,DC v GT,GT,DC,Prithvi Shaw,7,5,1,0,140,c Joseph b Mohammed Shami,2023
101,1359481,DC v GT,GT,DC,Mitchell Marsh,4,4,1,0,100, b Mohammed Shami,2023
102,1359481,DC v GT,GT,DC,Sarfaraz Khan,30,34,2,0,88.23,c Little b Rashid Khan,2023
103,1359481,DC v GT,GT,DC,Rilee Rossouw,0,1,0,0,0,c Tewatia b Joseph,2023
104,1359481,DC v GT,GT,DC,Abishek Porel,20,11,0,2,181.81, b Rashid Khan,2023
105,1359481,DC v GT,GT,DC,Axar Patel,36,22,2,3,163.63,c Miller b Mohammed Shami,2023
106,1359481,DC v GT,GT,DC,Aman Hakim Khan,8,8,0,1,100,c Pandya b Rashid Khan,2023
107,1359481,DC v GT,GT,DC,Kuldeep Yadav,1,1,0,0,100,not out,2023
108,1359481,DC v GT,GT,DC,Anrich Nortje,4,2,1,0,200,not out,2023
109,1359481,DC v GT,GT,GT,Wriddhiman Saha,14,7,2,1,200, b Nortje,2023
110,1359481,DC v GT,GT,GT,Shubman Gill,14,13,3,0,107.69, b Nortje,2023
111,1359481,DC v GT,GT,GT,Sai Sudharsan,62,48,4,2,129.16,not out,2023
112,1359481,DC v GT,GT,GT,Hardik Pandya,5,4,1,0,125,c &dagger;Abishek Porel b Ahmed,2023
113,1359481,DC v GT,GT,GT,Vijay Shankar,29,23,3,0,126.08,lbw b Marsh,2023
114,1359481,DC v GT,GT,GT,David Miller,31,16,2,2,193.75,not out,2023
115,1359482,RR v PBKS,GT,PBKS,Prabhsimran Singh,60,34,7,3,176.47,c Buttler b Holder,2023
116,1359482,RR v PBKS,GT,PBKS,Shikhar Dhawan,86,56,9,3,153.57,not out,2023
117,1359482,RR v PBKS,GT,PBKS,Bhanuka Rajapaksa,1,1,0,0,100,retired hurt,2023
118,1359482,RR v PBKS,GT,PBKS,Jitesh Sharma,27,16,2,1,168.75,c Parag b Chahal,2023
119,1359482,RR v PBKS,GT,PBKS,Sikandar Raza,1,2,0,0,50, b Ashwin,2023
120,1359482,RR v PBKS,GT,PBKS,M Shahrukh Khan,11,10,1,0,110,c Buttler b Holder,2023
121,1359482,RR v PBKS,GT,PBKS,Sam Curran,1,2,0,0,50,not out,2023
122,1359482,RR v PBKS,GT,RR,Yashasvi Jaiswal,11,8,1,1,137.5,c sub (MW Short) b Arshdeep Singh,2023
123,1359482,RR v PBKS,GT,RR,Ravichandran Ashwin,0,4,0,0,0,c S Dhawan b Arshdeep Singh,2023
124,1359482,RR v PBKS,GT,RR,Jos Buttler,19,11,1,1,172.72,c &amp; b Ellis,2023
125,1359482,RR v PBKS,GT,RR,Sanju Samson,42,25,5,1,168,c sub (MW Short) b Ellis,2023
126,1359482,RR v PBKS,GT,RR,Devdutt Padikkal,21,26,1,0,80.76, b Ellis,2023
127,1359482,RR v PBKS,GT,RR,Riyan Parag,20,12,1,2,166.66,c Shahrukh Khan b Ellis,2023
128,1359482,RR v PBKS,GT,RR,Shimron Hetmyer,36,18,1,3,200,run out (Shahrukh Khan/Curran),2023
129,1359482,RR v PBKS,GT,RR,Dhruv Jurel,32,15,3,2,213.33,not out,2023
130,1359482,RR v PBKS,GT,RR,Jason Holder,1,1,0,0,100,not out,2023
131,1359483,KKR v RCB,GT,KKR,Rahmanullah Gurbaz,57,44,6,3,129.54,c Akash Deep b Sharma,2023
132,1359483,KKR v RCB,GT,KKR,Venkatesh Iyer,3,7,0,0,42.85, b Willey,2023
133,1359483,KKR v RCB,GT,KKR,Mandeep Singh,0,1,0,0,0, b Willey,2023
134,1359483,KKR v RCB,GT,KKR,Nitish Rana,1,5,0,0,20,c &dagger;Karthik b Bracewell,2023
135,1359483,KKR v RCB,GT,KKR,Rinku Singh,46,33,2,3,139.39,c &dagger;Karthik b Patel,2023
136,1359483,KKR v RCB,GT,KKR,Andre Russell,0,1,0,0,0,c Kohli b Sharma,2023
137,1359483,KKR v RCB,GT,KKR,Shardul Thakur,68,29,9,3,234.48,c Maxwell b Mohammed Siraj,2023
138,1359483,KKR v RCB,GT,KKR,Sunil Narine,0,1,0,0,0,not out,2023
139,1359483,KKR v RCB,GT,KKR,Umesh Yadav,6,2,1,0,300,not out,2023
140,1359483,KKR v RCB,GT,RCB,Virat Kohli,21,18,3,0,116.66, b Narine,2023
141,1359483,KKR v RCB,GT,RCB,Faf du Plessis,23,12,2,2,191.66, b Varun,2023
142,1359483,KKR v RCB,GT,RCB,Michael Bracewell,19,18,1,1,105.55,c Rana b Thakur,2023
143,1359483,KKR v RCB,GT,RCB,Glenn Maxwell,5,7,1,0,71.42, b Varun,2023
144,1359483,KKR v RCB,GT,RCB,Harshal Patel,0,2,0,0,0, b Varun,2023
145,1359483,KKR v RCB,GT,RCB,Shahbaz Ahmed,1,5,0,0,20,c Thakur b Narine,2023
146,1359483,KKR v RCB,GT,RCB,Dinesh Karthik,9,8,1,0,112.5,c Varun b Suyash Sharma,2023
147,1359483,KKR v RCB,GT,RCB,Anuj Rawat,1,5,0,0,20,c Narine b Suyash Sharma,2023
148,1359483,KKR v RCB,GT,RCB,David Willey,20,20,2,0,100,not out,2023
149,1359483,KKR v RCB,GT,RCB,Karn Sharma,1,3,0,0,33.33,c Rana b Suyash Sharma,2023
150,1359483,KKR v RCB,GT,RCB,Akash Deep,17,8,2,1,212.5,c &amp; b Varun,2023
151,1359484,LSG v SRH,GT,SRH,Anmolpreet Singh,31,26,3,1,119.23,lbw b Pandya,2023
152,1359484,LSG v SRH,GT,SRH,Mayank Agarwal,8,7,1,0,114.28,c Stoinis b Pandya,2023
153,1359484,LSG v SRH,GT,SRH,Rahul Tripathi,34,41,4,0,82.92,c Mishra b Yash Thakur,2023
154,1359484,LSG v SRH,GT,SRH,Aiden Markram,0,1,0,0,0, b Pandya,2023
155,1359484,LSG v SRH,GT,SRH,Harry Brook,3,4,0,0,75,st &dagger;Pooran b Ravi Bishnoi,2023
156,1359484,LSG v SRH,GT,SRH,Washington Sundar,16,28,0,0,57.14,c Hooda b Mishra,2023
157,1359484,LSG v SRH,GT,SRH,Abdul Samad,21,10,1,2,210,not out,2023
158,1359484,LSG v SRH,GT,SRH,Adil Rashid,4,3,1,0,133.33,c Hooda b Mishra,2023
159,1359484,LSG v SRH,GT,SRH,Umran Malik,0,0,0,0,-,run out (Hooda/Unadkat),2023
160,1359484,LSG v SRH,GT,SRH,Bhuvneshwar Kumar,0,0,0,0,-,not out,2023
161,1359484,LSG v SRH,GT,LSG,Kyle Mayers,13,14,2,0,92.85,c Agarwal b Fazalhaq Farooqi,2023
162,1359484,LSG v SRH,GT,LSG,KL Rahul,35,31,4,0,112.9,lbw b Rashid,2023
163,1359484,LSG v SRH,GT,LSG,Deepak Hooda,7,8,0,1,87.5,c &amp; b Kumar,2023
164,1359484,LSG v SRH,GT,LSG,Krunal Pandya,34,23,4,1,147.82,c &dagger;Anmolpreet Singh b Umran Malik,2023
165,1359484,LSG v SRH,GT,LSG,Marcus Stoinis,10,13,2,0,76.92,not out,2023
166,1359484,LSG v SRH,GT,LSG,Romario Shepherd,0,1,0,0,0,lbw b Rashid,2023
167,1359484,LSG v SRH,GT,LSG,Nicholas Pooran,11,6,1,1,183.33,not out,2023
168,1359485,RR v DC,GT,RR,Yashasvi Jaiswal,60,31,11,1,193.54,c &amp; b Mukesh Kumar,2023
169,1359485,RR v DC,GT,RR,Jos Buttler,79,51,11,1,154.9,c &amp; b Mukesh Kumar,2023
170,1359485,RR v DC,GT,RR,Sanju Samson,0,4,0,0,0,c Nortje b Kuldeep Yadav,2023
171,1359485,RR v DC,GT,RR,Riyan Parag,7,11,0,0,63.63, b Powell,2023
172,1359485,RR v DC,GT,RR,Shimron Hetmyer,39,21,1,4,185.71,not out,2023
173,1359485,RR v DC,GT,RR,Dhruv Jurel,8,3,0,1,266.66,not out,2023
174,1359485,RR v DC,GT,DC,Prithvi Shaw,0,3,0,0,0,c &dagger;Samson b Boult,2023
175,1359485,RR v DC,GT,DC,David Warner,65,55,7,0,118.18,lbw b Chahal,2023
176,1359485,RR v DC,GT,DC,Manish Pandey,0,1,0,0,0,lbw b Boult,2023
177,1359485,RR v DC,GT,DC,Rilee Rossouw,14,12,2,0,116.66,c Jaiswal b R Ashwin,2023
178,1359485,RR v DC,GT,DC,Lalit Yadav,38,24,5,0,158.33, b Boult,2023
179,1359485,RR v DC,GT,DC,Axar Patel,2,6,0,0,33.33,st &dagger;Samson b Chahal,2023
180,1359485,RR v DC,GT,DC,Rovman Powell,2,2,0,0,100,c Hetmyer b R Ashwin,2023
181,1359485,RR v DC,GT,DC,Abishek Porel,7,9,1,0,77.77,c Hetmyer b Chahal,2023
182,1359485,RR v DC,GT,DC,Kuldeep Yadav,3,7,0,0,42.85,not out,2023
183,1359485,RR v DC,GT,DC,Anrich Nortje,0,1,0,0,0, b Sandeep Sharma,2023
184,1359485,RR v DC,GT,DC,Mukesh Kumar,1,1,0,0,100,not out,2023
185,1359486,MI v CSK,GT,MI,Rohit Sharma,21,13,3,1,161.53, b Deshpande,2023
186,1359486,MI v CSK,GT,MI,Ishan Kishan,32,21,5,0,152.38,c Pretorius b Jadeja,2023
187,1359486,MI v CSK,GT,MI,Cameron Green,12,11,1,0,109.09,c &amp; b Jadeja,2023
188,1359486,MI v CSK,GT,MI,Suryakumar Yadav,1,2,0,0,50,c &dagger;Dhoni b Santner,2023
189,1359486,MI v CSK,GT,MI,Tilak Varma,22,18,2,1,122.22,lbw b Jadeja,2023
190,1359486,MI v CSK,GT,MI,Arshad Khan,2,4,0,0,50,lbw b Santner,2023
191,1359486,MI v CSK,GT,MI,Tim David,31,22,1,2,140.9,c Rahane b Deshpande,2023
192,1359486,MI v CSK,GT,MI,Tristan Stubbs,5,10,0,0,50,c Gaikwad b Magala,2023
193,1359486,MI v CSK,GT,MI,Hrithik Shokeen,18,13,3,0,138.46,not out,2023
194,1359486,MI v CSK,GT,MI,Piyush Chawla,5,6,0,0,83.33,not out,2023
195,1359486,MI v CSK,GT,CSK,Devon Conway,0,4,0,0,0, b Behrendorff,2023
196,1359486,MI v CSK,GT,CSK,Ruturaj Gaikwad,40,36,2,1,111.11,not out,2023
197,1359486,MI v CSK,GT,CSK,Ajinkya Rahane,61,27,7,3,225.92,c Yadav b Chawla,2023
198,1359486,MI v CSK,GT,CSK,Shivam Dube,28,26,2,1,107.69, b Kartikeya,2023
199,1359486,MI v CSK,GT,CSK,Ambati Rayudu,20,16,3,0,125,not out,2023
200,1359487,GT v KKR,GT,GT,Wriddhiman Saha,17,17,3,0,100,c Jagadeesan b Narine,2023
201,1359487,GT v KKR,GT,GT,Shubman Gill,39,31,5,0,125.8,c Yadav b Narine,2023
202,1359487,GT v KKR,GT,GT,Sai Sudharsan,53,38,3,2,139.47,c sub (AS Roy) b Narine,2023
203,1359487,GT v KKR,GT,GT,Abhinav Manohar,14,8,3,0,175, b Suyash Sharma,2023
204,1359487,GT v KKR,GT,GT,Vijay Shankar,63,24,4,5,262.5,not out,2023
205,1359487,GT v KKR,GT,GT,David Miller,2,3,0,0,66.66,not out,2023
206,1359487,GT v KKR,GT,KKR,Rahmanullah Gurbaz,15,12,1,1,125,c Yash Dayal b Mohammed Shami,2023
207,1359487,GT v KKR,GT,KKR,Narayan Jagadeesan,6,8,1,0,75,c Manohar b Little,2023
208,1359487,GT v KKR,GT,KKR,Venkatesh Iyer,83,40,8,5,207.5,c Shubman Gill b Joseph,2023
209,1359487,GT v KKR,GT,KKR,Nitish Rana,45,29,4,3,155.17,c Mohammed Shami b Joseph,2023
210,1359487,GT v KKR,GT,KKR,Rinku Singh,48,21,1,6,228.57,not out,2023
211,1359487,GT v KKR,GT,KKR,Andre Russell,1,2,0,0,50,c sub (&dagger;KS Bharat) b Rashid Khan,2023
212,1359487,GT v KKR,GT,KKR,Sunil Narine,0,1,0,0,0,c sub (J Yadav) b Rashid Khan,2023
213,1359487,GT v KKR,GT,KKR,Shardul Thakur,0,1,0,0,0,lbw b Rashid Khan,2023
214,1359487,GT v KKR,GT,KKR,Umesh Yadav,5,6,0,0,83.33,not out,2023
215,1359488,SRH v PBKS,GT,PBKS,Prabhsimran Singh,0,1,0,0,0,lbw b Kumar,2023
216,1359488,SRH v PBKS,GT,PBKS,Shikhar Dhawan,99,66,12,5,150,not out,2023
217,1359488,SRH v PBKS,GT,PBKS,Matthew Short,1,3,0,0,33.33,lbw b Jansen,2023
218,1359488,SRH v PBKS,GT,PBKS,Jitesh Sharma,4,9,1,0,44.44,c Markram b Jansen,2023
219,1359488,SRH v PBKS,GT,PBKS,Sam Curran,22,15,3,1,146.66,c Kumar b Markande,2023
220,1359488,SRH v PBKS,GT,PBKS,Sikandar Raza,5,6,0,0,83.33,c Agarwal b Umran Malik,2023
221,1359488,SRH v PBKS,GT,PBKS,M Shahrukh Khan,4,3,1,0,133.33,lbw b Markande,2023
222,1359488,SRH v PBKS,GT,PBKS,Harpreet Brar,1,2,0,0,50, b Umran Malik,2023
223,1359488,SRH v PBKS,GT,PBKS,Rahul Chahar,0,8,0,0,0,lbw b Markande,2023
224,1359488,SRH v PBKS,GT,PBKS,Nathan Ellis,0,5,0,0,0, b Markande,2023
225,1359488,SRH v PBKS,GT,PBKS,Mohit Rathee,1,2,0,0,50,not out,2023
226,1359488,SRH v PBKS,GT,SRH,Harry Brook,13,14,3,0,92.85, b Arshdeep Singh,2023
227,1359488,SRH v PBKS,GT,SRH,Mayank Agarwal,21,20,3,0,105,c Curran b Chahar,2023
228,1359488,SRH v PBKS,GT,SRH,Rahul Tripathi,74,48,10,3,154.16,not out,2023
229,1359488,SRH v PBKS,GT,SRH,Aiden Markram,37,21,6,0,176.19,not out,2023
230,1359489,RCB v LSG,GT,RCB,Virat Kohli,61,44,4,4,138.63,c Stoinis b Mishra,2023
231,1359489,RCB v LSG,GT,RCB,Faf du Plessis,79,46,5,5,171.73,not out,2023
232,1359489,RCB v LSG,GT,RCB,Glenn Maxwell,59,29,3,6,203.44, b Wood,2023
233,1359489,RCB v LSG,GT,RCB,Dinesh Karthik,1,1,0,0,100,not out,2023
234,1359489,RCB v LSG,GT,LSG,Kyle Mayers,0,3,0,0,0, b Mohammed Siraj,2023
235,1359489,RCB v LSG,GT,LSG,KL Rahul,18,20,1,0,90,c Kohli b Mohammed Siraj,2023
236,1359489,RCB v LSG,GT,LSG,Deepak Hooda,9,10,1,0,90,c &dagger;Karthik b Parnell,2023
237,1359489,RCB v LSG,GT,LSG,Krunal Pandya,0,2,0,0,0,c &dagger;Karthik b Parnell,2023
238,1359489,RCB v LSG,GT,LSG,Marcus Stoinis,65,30,6,5,216.66,c Shahbaz Ahmed b Sharma,2023
239,1359489,RCB v LSG,GT,LSG,Nicholas Pooran,62,19,4,7,326.31,c Shahbaz Ahmed b Mohammed Siraj,2023
240,1359489,RCB v LSG,GT,LSG,Ayush Badoni,30,24,4,0,125,hit wicket b Parnell,2023
241,1359489,RCB v LSG,GT,LSG,Jaydev Unadkat,9,7,1,0,128.57,c du Plessis b Patel,2023
242,1359489,RCB v LSG,GT,LSG,Mark Wood,1,2,0,0,50, b Patel,2023
243,1359489,RCB v LSG,GT,LSG,Ravi Bishnoi,3,2,0,0,150,not out,2023
244,1359489,RCB v LSG,GT,LSG,Avesh Khan,0,1,0,0,0,not out,2023
245,1359490,DC v MI,GT,DC,David Warner,51,47,6,0,108.51,c Meredith b Behrendorff,2023
246,1359490,DC v MI,GT,DC,Prithvi Shaw,15,10,3,0,150,c Green b Shokeen,2023
247,1359490,DC v MI,GT,DC,Manish Pandey,26,18,5,0,144.44,c Behrendorff b Chawla,2023
248,1359490,DC v MI,GT,DC,Yash Dhull,2,4,0,0,50,c Wadhera b Meredith,2023
249,1359490,DC v MI,GT,DC,Rovman Powell,4,4,1,0,100,lbw b Chawla,2023
250,1359490,DC v MI,GT,DC,Lalit Yadav,2,4,0,0,50, b Chawla,2023
251,1359490,DC v MI,GT,DC,Axar Patel,54,25,4,5,216,c Arshad Khan b Behrendorff,2023
252,1359490,DC v MI,GT,DC,Abishek Porel,1,3,0,0,33.33,c Green b Behrendorff,2023
253,1359490,DC v MI,GT,DC,Kuldeep Yadav,0,1,0,0,0,run out (Wadhera),2023
254,1359490,DC v MI,GT,DC,Anrich Nortje,5,3,1,0,166.66, b Meredith,2023
255,1359490,DC v MI,GT,DC,Mustafizur Rahman,1,1,0,0,100,not out,2023
256,1359490,DC v MI,GT,MI,Rohit Sharma,65,45,6,4,144.44,c &dagger;Abishek Porel b Mustafizur Rahman,2023
257,1359490,DC v MI,GT,MI,Ishan Kishan,31,26,6,0,119.23,run out (Mukesh Kumar/Lalit Yadav),2023
258,1359490,DC v MI,GT,MI,Tilak Varma,41,29,1,4,141.37,c Pandey b Mukesh Kumar,2023
